"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Bom Jesus do Itabapoana","Indígena","2018",0
"Bom Jesus do Itabapoana","Indígena","2019",0
"Bom Jesus do Itabapoana","Indígena","2020",0
"Bom Jesus do Itabapoana","Indígena","2021",0
"Bom Jesus do Itabapoana","Indígena","2022",0
"Bom Jesus do Itabapoana","Indígena","2023",0
"Bom Jesus do Itabapoana","Indígena","2024",2
"Bom Jesus do Itabapoana","Indígena","2025",3
"Bom Jesus do Itabapoana","Ignorado","2015",1147
"Bom Jesus do Itabapoana","Ignorado","2016",1960
"Bom Jesus do Itabapoana","Ignorado","2017",34
"Bom Jesus do Itabapoana","Ignorado","2018",0
"Bom Jesus do Itabapoana","Ignorado","2019",111
"Bom Jesus do Itabapoana","Ignorado","2020",4
"Bom Jesus do Itabapoana","Ignorado","2021",3
"Bom Jesus do Itabapoana","Ignorado","2022",6
"Bom Jesus do Itabapoana","Ignorado","2023",407
